team,played,win_rate,avg_gf,avg_ga
Raetia,26,0.23076923076923078,1.6538461538461537,3.9615384615384617
Republic of Ireland,620,0.38387096774193546,1.353225806451613,1.2225806451612904
Republic of St. Pauli,4,0.25,2.5,1.25
Rhodes,18,0.6111111111111112,1.6111111111111112,1.0555555555555556
Romani people,7,0.2857142857142857,1.8571428571428572,3.7142857142857144
Romania,754,0.4376657824933687,1.6180371352785146,1.273209549071618
Russia,736,0.5135869565217391,1.735054347826087,0.9864130434782609
Rwanda,272,0.3125,1.036764705882353,1.2022058823529411
Ryūkyū,1,0.0,0.0,9.0
Réunion,124,0.4274193548387097,1.7661290322580645,1.7741935483870968
Saare County,35,0.14285714285714285,1.1714285714285715,2.5428571428571427
Saarland,9,0.1111111111111111,1.1111111111111112,2.888888888888889
Saint Barthélemy,10,0.4,2.5,3.0
Saint Helena,8,0.0,0.75,5.125
Saint Kitts and Nevis,218,0.39908256880733944,1.6972477064220184,1.6055045871559632
Saint Lucia,225,0.3511111111111111,1.4355555555555555,1.8711111111111112
Saint Martin,62,0.3548387096774194,1.4838709677419355,2.532258064516129
Saint Pierre and Miquelon,7,0.0,0.2857142857142857,11.142857142857142
Saint Vincent and the Grenadines,228,0.36403508771929827,1.5350877192982457,1.894736842105263
Samoa,71,0.30985915492957744,1.3943661971830985,3.507042253521127
San Marino,213,0.014084507042253521,0.18309859154929578,3.9812206572769955
Sark,4,0.0,0.0,17.5
Saudi Arabia,719,0.4756606397774687,1.549374130737135,1.0458970792767732
Saugeais,1,0.0,1.0,1.0
Scotland,839,0.47079856972586415,1.702026221692491,1.2359952324195471
Sealand,12,0.3333333333333333,2.25,2.5
Seborga,1,0.0,2.0,3.0
Senegal,619,0.4604200323101777,1.3521809369951534,0.9434571890145396
Serbia,336,0.44642857142857145,1.5446428571428572,1.0714285714285714
Seychelles,172,0.1511627906976744,0.7848837209302325,2.1802325581395348
Shetland,55,0.38181818181818183,1.7636363636363637,1.9636363636363636
Sierra Leone,294,0.29931972789115646,0.9591836734693877,1.3877551020408163
Silesia,8,0.375,3.0,2.125
Singapore,686,0.3119533527696793,1.3396501457725947,1.8309037900874636
Sint Maarten,56,0.32142857142857145,1.4642857142857142,2.6607142857142856
Slovakia,355,0.4028169014084507,1.4140845070422534,1.2338028169014084
Slovenia,305,0.3639344262295082,1.2491803278688525,1.1704918032786886
Solomon Islands,210,0.42857142857142855,2.176190476190476,1.9238095238095239
Somalia,118,0.0847457627118644,0.5084745762711864,2.711864406779661
Somaliland,6,0.3333333333333333,2.3333333333333335,3.3333333333333335
South Africa,465,0.44731182795698926,1.3526881720430108,0.9526881720430107
South Korea,995,0.5326633165829145,1.7798994974874371,0.9065326633165829
South Ossetia,17,0.29411764705882354,2.0588235294117645,2.176470588235294
South Sudan,73,0.1643835616438356,0.6712328767123288,1.7945205479452055
South Yemen,3,0.0,0.3333333333333333,2.6666666666666665
Spain,771,0.5875486381322957,2.03242542153048,0.8988326848249028
Sri Lanka,244,0.1885245901639344,0.9426229508196722,2.3155737704918034
Sudan,456,0.3267543859649123,1.1030701754385965,1.3464912280701755
Suriname,387,0.4392764857881137,1.8992248062015504,1.421188630490956
Surrey,1,1.0,3.0,1.0
Sweden,1089,0.4931129476584022,1.9761248852157942,1.2837465564738293
Switzerland,872,0.3543577981651376,1.4793577981651376,1.6456422018348624
Syria,472,0.3538135593220339,1.4194915254237288,1.326271186440678
Székely Land,27,0.3333333333333333,2.074074074074074,2.074074074074074
Sápmi,29,0.41379310344827586,3.103448275862069,1.8620689655172413
São Tomé and Príncipe,67,0.11940298507462686,0.746268656716418,2.537313432835821
Tahiti,242,0.5413223140495868,2.7148760330578514,1.5330578512396693
